INDEX_;CARD_;MEANING_;REVERSED_;EXTRAS_;IMAGE_;EOL_
01;THE FOOL, O;Folly, Mania, Extravagance, Intoxication, Delirium, Frenzy, Bewrayment;Negligence, Absence, Distribution, Carelessness, Apathy, Nullity, Vanity.;In many esoteric systems of tarot card interpretation, The fool is interpreted as the protagonist of a story, and the Major Arcana are the path the fool takes through the great mysteries of life.;00_00_fool.jpg;
02;THE MAGICIAN, I;Represents potential and tapping into one's talents. Skill, Diplomacy, Address, Sickness, Pain, Loss, Disaster, Self-Confidence, Will, The Querent Himself (if male);Potential and talents are unfocused and unmanifested. Can also be interpreted as related to black magick, madness or mental distress. Physician, Magus, Mental Ills, Disgrace, Disquiet;Associated with the planet mercury, and hence the signs of Gemini and Virgo;00_01_magician.jpg;
03;THE HIGH PRIESTESS, II;Secrets, mystery, the future as yet unrevealed. The woman that interests the Querent (if male). The Querent (if female). Silence, Tenacity, Wisdom, Science;Passion, Moral or Physical Ardor, Conceit, Surface Knowledge;;00_02_high_priestess.jpg;
04;THE EMPRESS, III;Fruitfulness, action, initiative, length of days, clandestine, the unknown, difficulty, doubt, ignorance;Light, truth, the unraveling of involved matters, public rejoicings according to another reading, vacillation or hesitance;;00_03_empress.jpg;
05;THE EMPEROR, IV;Authority, establishment, structure, a Father Figure. Stability, Power, Aid, Protection, A great person, Conviction, Reason;Domination, Excessive Control, Lack Of Discipline, Inflexibility. Benevolence, Compassion, Credit, also confusion to enemies, obstruction, immaturity;;00_04_emperor.jpg;
06;THE HERIOPHANT, V;Marriage, alliance, captivity, servitude, mercy and goodness, Inspiration, the man to whom the Querent has recourse;Society, good understanding, concord, over kindness, weakness;In astrology, the hierophant is associated with the feminine, fixed-earth sign of Taurus and it's ruling planet, Venus;00_05_hierophant.jpg;
07;THE LOVERS, VI;Attraction, Love, Beauty, Trials Overcome;Failure, foolish designs. Another account speaks of marriage frustrated and contrarieties of all kinds;;00_06_lovers.jpg;
08;THE CHARIOT, VII;Succour, providence, also war, thriumph, presumption, vengeance, trouble;Riot, quarrel, dispute, litigation, defeat;;00_07_chariot.jpg;
09;STRENGTH, VIII;Power, energy, action, courage, magnanimity. also complete success and honours;Despotism, abuse of power, weakness, discord, sometimes even disgrace;In astrology, the strength card is associated with the masculine, fixed-fire sign of leo and its ruling planetary body, the Sun;00_08_strength.jpg;
10;THE HERMIT, IX;Prudence, also and specially treason. dissimulation, corruption, roguery, circumspection;Concealment, Disguise, Policy Fear, Unreasoned Caution;;00_09_hermit.jpg;
11;FORTUNE WHEEL, X;Destiny, fortune, success, elevation, luck, felicity;Increase, abundance, superfluity;;00_10_wheel_of_fortune.jpg;
12;JUSTICE, XI;Equity, rightness, probity, executive;Law in all its departments, legal complications, bigotry, bias, excessive severity;;00_11_justice.jpg;
13;THE HANGED MAN, XII;Wisdom, circumspection, discernment, trials, sacrifice, intuition, divination, prophecy;Selfishness, the crowd, body politic;;00_12_hanged_man.jpg;
14;DEATH, XIII;End, mortality, destruction, corruption. Also, for a man, the loss of a benefactor, for a woman, many contrarieties, for a maid, failure of marriage projects;Inertia, sleep, lethargy, petrifaction, somnambulism, hope destroyed;;00_13_death.jpg;
15;TEMPERANCE, XIV;Economy, moderation, frugality, management, accommodation;Things connected with churches, religions, sects, the priesthood, sometimes even the priest who will marry Querent, also dis-union, unfortunate combinations, competing interests;;00_14_temperance.jpg;
16;THE DEVIL, XV;Ravage, violence, vehemence, extraordinary efforts, force, fatality. That which is predestined but is not for this reason evil;Evil fatality, weakness, pettiness, blindness;;00_15_devil.jpg;
17;THE TOWER, XVI;Misery, distress, ruin, indigence, adversity, calamity, disgrace, deception. It is a card in particular of unforeseen catastrophe;According to one account, the same but lesser degree. Negligence, absence, distribution, carelessness, distraction, apathy, nullity, vanity. Oppression, Imprissionment, Tyranny;;00_16_tower.jpg;
18;THE STAR, XVII;Loss, Theft, Privation, Abandonment, although another reading suggests hope and bright prospects in the future;Arrogance, haughtiness, impotence;In astrology, The Star card is associated with the planet Uranus and Aquarius zodiac sign;00_17_star.jpg;
19;THE MOON, XVIII;Hidden enemies, danger, calumny, darkness, terror, deception, occult forces, error;Instability, inconstancy, silence, lesser degrees of deception and error;In astrology, The Moon card is associated with the mutable-water sign of Pisces and its ruling planet, Neptune;00_18_moon.jpg;
20;THE SUN, XIX;Material happiness, fortunate marriage, contentment;The same in a lesser sense;;00_19_sun.jpg;
21;JUDGEMENT, XX;Change of Position. Out-Come. Rebirth, inner-calling, absolution, karma, causality, second chance;Reflection, self-evaluation, introspection, simplicity, deliveration, decision, sentence;;00_20_judgement.jpg;
22;THE WORLD, XXI;Assured success, recompense, voyage, route, emigration, flight, change of place;Inertia, fixity, stagnation, permanence;;00_21_world.jpg;
23;ACE OF WANDS;Inspiration, new opportunities, growth, potential. Creation, Invention, Enterprise, Origin, Birth;An emerging idea, lack of direction, distractions, delays. Fall, Decadence, Ruin, Perdition, Clouded Joy;;01_01_wands.jpg;
24;two of wands;Future planning, progress, decisions, discovery;Personal goals, inner alignment, fear of unknown, lack of planning;;01_02_wands.jpg;
25;three of wands;Progress, expansion, foresight, overseas opportunities;Playing small, lack of foresight, unexpected delays;;01_03_wands.jpg;
26;four of wands;Celebration, joy, harmony, relaxation, homecoming;Personal celebration, inner harmony, conflict with others, transition;;01_04_wands.jpg;
27;five of wands;Conflict, disagreements, competition, tension, diversity;Inner conflict, conflict avoidance, tension release;;01_05_wands.jpg;
28;six of wands;Success, public recognition, progress, self-confidence;Private achievement, personal definition of success, fall from grace, egotism;;01_06_wands.jpg;
29;seven of wands;Challenge, competition, protection, perseverance;Exhaustion, giving up, overwhelmed;;01_07_wands.jpg;
30;eight of wands;Movement, fast paced change, action, alignment, air travel;Delays, frustration, resisting change, internal alignment;;01_08_wands.jpg;
31;nine of wands;Resilience, courage, persistence, test of faith, boundaries;Inner resources, struggle, overwhelm, defensive, paranoia;;01_09_wands.jpg;
32;ten of wands;Burden, extra responsibility, hard work, completion;Doing it all, carrying the burden, delegation, release;;01_10_wands.jpg;
33;page of wands;Inspiration, ideas, discovery, limitless potential, free spirit;Newly-formed ideas, redirecting energy, self-limiting beliefs, a spiritual path;;01_11_wands.jpg;
34;knight of wands;Energy, passion, inspired action, adventure, impulsiveness;Passion project, haste, scattered energy, delays, frustration;;01_12_wands.jpg;
35;queen of wands;Courage, confidence, independence, social butterfly, determination;Self-respect, self-confidence, introverted, re-establish sense of self;;01_13_wands.jpg;
36;king of wands;Natural-born leader, vision, entrepreneur, honour;Impulsiveness, haste, ruthless, high expectations;;01_14_wands.jpg;
37;ACE OF CUPS;True Heart, Joy, Content, Love, New Relationships, Compassion, Creativity. Nourishment, Abundance, Fertility;False Heart. Self-love, Mutation, Instability. Intuition, Repressed Emotions;;02_01_cups.jpg;
38;two of cups;Unified love, partnership, mutual attraction;Self-love, break-ups, disharmony, distrust;;02_02_cups.jpg;
39;three of cups;Celebration, friendship, creativity, collaborations;Independence, alone time, hardcore partying, three's a crowd;;02_03_cups.jpg;
40;four of cups;Meditation, contemplation, apathy, reevaluation;Retreat, withdrawal, checking in for alignment;;02_04_cups.jpg;
41;five of cups;Regret, failure, disappointment, pessimism;Personal setbacks, self-forgiveness, moving on;;02_05_cups.jpg;
42;six of cups;Revisiting the past, childhood memories, innocence, joy;Living in the past, forgiveness, lacking playfulness;;02_06_cups.jpg;
43;seven of cups;Opportunities, choices, wishful thinking, illusion;Alignment, personal values, overwhelmed by choices;;02_07_cups.jpg;
44;eight of cups;Disappointment, abandonment, withdrawal, escapism;Trying one more time, indecision, aimless drifting, walking away;;02_08_cups.jpg;
45;nine of cups;Contentment, satisfaction, gratitude, wish come true;Inner happiness, materialism, dissatisfaction, indulgence;;02_09_cups.jpg;
46;ten of cups;Divine love, blissful relationships, harmony, alignment;Disconnection, misaligned values, struggling relationships;;02_10_cups.jpg;
47;page of cups;Creative opportunities, intuitive messages, curiosity, possibility;New ideas, doubting intuition, creative blocks, emotional immaturity;;02_11_cups.jpg;
48;knight of cups;Creativity, romance, charm, imagination, beauty;Overactive imagination, unrealistic, jealous, moody;;02_12_cups.jpg;
49;queen of cups;Compassionate, caring, emotionally stable, intuitive, in flow;Inner feelings, self-care, self-love, co-dependency;;02_13_cups.jpg;
50;king of cups;Emotionally balanced, compassionate, diplomatic;Self-compassion, inner feelings, moodiness, emotionally manipulative;;02_14_cups.jpg;
51;ACE OF SWORDS;Triumph, Excess, Conquest, Force. Breakthroughs, New Ideas, Mental Clarity, Success;Inner clarity, re-thinking an idea, clouded judgement. Same meaning but the results are disastrous. Childbirth, Augmentation, Multiplicity;;03_01_swords.jpg;
52;two of swords;Difficult decisions, weighing up options, an impasse, avoidance;Indecision, confusion, information overload, stalemate;;03_02_swords.jpg;
53;three of swords;Heartbreak, emotional pain, sorrow, grief, hurt;Negative self-talk, releasing pain, optimism, forgiveness;;03_03_swords.jpg;
54;four of swords;Rest, relaxation, meditation, contemplation, recuperation;Exhaustion, burn-out, deep contemplation, stagnation;;03_04_swords.jpg;
55;five of swords;Conflict, disagreements, competition, defeat, winning at all costs;Reconciliation, making amends, past resentment;;03_05_swords.jpg;
56;six of swords;Transition, change, rite of passage, releasing baggage;Personal transition, resistance to change, unfinished business;;03_06_swords.jpg;
57;seven of swords;Betrayal, deception, getting away with something, acting strategically;Imposter syndrome, self-deceit, keeping secrets;;03_07_swords.jpg;
58;eight of swords;Negative thoughts, self-imposed restriction, imprisonment, victim mentality;Self-limiting beliefs, inner critic, releasing negative thoughts, open to new perspectives;;03_08_swords.jpg;
59;nine of swords;Anxiety, worry, fear, depression, nightmares;Inner turmoil, deep-seated fears, secrets, releasing worry;;03_09_swords.jpg;
60;ten of swords;Painful endings, deep wounds, betrayal, loss, crisis;Recovery, regeneration, resisting an inevitable end;;03_10_swords.jpg;
61;page of swords;New ideas, curiosity, thirst for knowledge, new ways of communicating;Self-expression, all talk and no action, haphazard action, haste;;03_11_swords.jpg;
62;knight of swords;Ambitious, action-oriented, driven to succeed, fast-thinking;Restless, unfocused, impulsive, burn-out;;03_12_swords.jpg;
63;queen of swords;Independent, unbiased judgement, clear boundaries, direct communication;Overly-emotional, easily influenced, bitchy, cold-hearted;;03_13_swords.jpg;
64;king of swords;Mental clarity, intellectual power, authority, truth;Quiet power, inner truth, misuse of power, manipulation;;03_14_swords.jpg;
65;ACE OF PENTACLES;Perfect Contentment, Felicit Ecstasy, Speedy Gold. A new financial or career opportunity, manifestation, abundance;Evil Side Of Wealth. Lost Opportunity, Lack of Planning and Foresight;;04_01_pentacles.jpg;
66;two of pentacles;Multiple priorities, time management, prioritisation, adaptability;Over-committed, disorganisation, reprioritisation;;04_02_pentacles.jpg;
67;three of pentacles;Teamwork, collaboration, learning, implementation;Disharmony, misalignment, working alone;;04_03_pentacles.jpg;
68;four of pentacles;Saving money, security, conservatism, scarcity, control;Over-spending, greed, self-protection;;04_04_pentacles.jpg;
69;five of pentacles;Financial loss, poverty, lack mindset, isolation, worry;Recovery from financial loss, spiritual poverty;;04_05_pentacles.jpg;
70;six of pentacles;Giving, receiving, sharing wealth, generosity, charity;Self-care, unpaid debts, one-sided charity;;04_06_pentacles.jpg;
71;seven of pentacles;Long-term view, sustainable results, perseverance, investment;Lack of long-term vision, limited success or reward;;04_07_pentacles.jpg;
72;eight of pentacles;Apprenticeship, repetitive tasks, mastery, skill development;Self-development, perfectionism, misdirected activity;;04_08_pentacles.jpg;
73;nine of pentacles;Abundance, luxury, self-sufficiency, financial independence;Self-worth, over-investment in work, hustling;;04_09_pentacles.jpg;
74;ten of pentacles;Wealth, financial security, family, long-term success, contribution;The dark side of wealth, financial failure or loss;;04_10_pentacles.jpg;
75;page of pentacles;Manifestation, financial opportunity, skill development;Lack of progress, procrastination, learn from failure;;04_11_pentacles.jpg;
76;knight of pentacles;Hard work, productivity, routine, conservatism;Self-discipline, boredom, feeling stuck, perfectionism;;04_12_pentacles.jpg;
77;queen of pentacles;Nurturing, practical, providing financially, a working parent;Financial independence, self-care, work-home conflict;;04_13_pentacles.jpg;
78;king of pentacles;Wealth, business, leadership, security, discipline, abundance;Financially inept, obsessed with wealth and status, stubborn;;04_14_pentacles.jpg;
